,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,SNES_Name,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Briareus,None,17,Fist,"Attack, Claw, Snowstorm",110,Hi-Potion (1/8),465,None,0,458,750,94,Yes,None,22,Grass East of Veldt Overworld (Area around Thamasa),100,No,10,120,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Cyclonic,Easy,Baskervor,"Absolute Zero (3/4), Claw (1/4)",Claw (150% damage),35,"Poison, Death, Doom",Gaia Gear (1/8),N/A,"Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Critical Image, Silence, Berserk, Confusion, Sap, Sleep, Slow Stop",None,0,0,0
Bug,None,13,Ice Rod,"Attack, Stone Sting",120,None,165,None,0,210,310,74,No,Float,16,Deserts on Southern Continent,20,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Stop,Easy,Bug,"Attack (3/4), Stone Sting (1/4)",Stone Sting (inflicts 'Petrify'),35,"Darkness, Imp, Silence, Sleep","Gold Needle (7/8), Hi-Potion (1/8)",N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Berserk, Confusion, Sap, Slow, Stop","Ice, Water",0,0,0
Cactuar,None,1,Ice Rod,"Attack, Mindprick, 1000 Needles",255,Gold Needle (1/8),0,None,250,10000,3,176,No,None,27,Desert south of Maranda [WoR],60000,No,50,255,250,"Reed Cloak, Saucer, Tortoise Shield, Impartisan (32/256)",None,1000 Needles,Easy,Cactrot,"1000 Needles (3/4), Mindprick (1/4)",Mindprick (inflicts 'Berserk'),39,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep",Gold Needle (1/8),N/A,"Death, Slow, Stop","Ice, Water",0,0,0
Cadet,None,13,Rune Blade,"Attack, Hit",100,None,33,None,0,66,102,27,No,None,7,South Figaro (Locke's Scenario),25,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Can't Run Away,Officer,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Poison, Imp, Petrify, Death, Doom, Berserk, Confusion Sap, Sleep, Slow, Stop","Potion (7/8), Hi-Potion (1/8)",Humanoid,None,Poison,0,0,0
Caladrius,None,14,Ice Rod,"Attack, Beak, Acid Rain",100,None,653,None,90,497,885,162,No,Float,36,Owzer's Mansion [WoR],87,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Acid Rain,Hard,Vindr,"Acid Rain (3/4), Beak (1/4)",Beak (inflicts 'Petrify'),30,"Imp, Sleep",Chocobo Suit (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",Fire,0,0,0
Cancer,None,15,Fist,"Attack, Pincer, Esuna",110,None,360,None,0,576,952,131,No,None,26,Figaro Continent (Wasteland/Desert) [WoR],100,No,10,145,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Esuna,Easy,Maliga,"Attack (3/4), Pincer (1/4)",Pincer (150% damage),30,"Darkness, Imp, Petrify, Doom, Critical, Image, Silence Berserk, Confusion, Sap, Sleep",Potion (7/8),N/A,"Zombie, Poison, MagiTek, Invisible, Death, Slow, Stop","Ice, Lightning, Water",0,0,0
Captain,None,18,Kiku-ichimonji,"Attack, Axe",5,"Black Belt (7/8), Phoenix Down (1/8)",0,None,0,50,456,36,Yes,Protect,12,Doma Castle (Sabin's Scenario) [WoB],20,No,10,110,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Leader,"Attack (3/4), Axe (1/4)",Axe (150% damage),35,None,None,Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,0,0,0
Cartagra,None,11,Fist,"Attack, Poison Barb, Poison",90,None,105,None,0,135,150,27,No,Protect,12,South Figaro Cave (Locke's Scenario) [WoB],20,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Poison Barb,Easy,Trilobiter,"Attack (3/4), Poison Barb (1/4)",Poison Barb (inflicts 'Poison'),30,Imp,"Antidote (7/8), Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",None,0,0,0
Chadarnook,Lightning,18,Fist,"Attack, Hit",135,None,0,None,0,0,30000,319,No,None,41,Owzer's Mansion [WoR],7600,Yes,10,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Chadarnook,"Attack (3/4), Hit (1/4)",Hit (inflicts 'Doom'),61,"Zombie, Poison, Invisible, Imp, Petrify, Death, Doom Silence, Berserk, Confusion, Sap, Sleep, Stop",None,N/A,"Darkness, MagiTek, Critical, Image, Slow","Fire, Holy",1,0,0
Chadarnook (Esper),"Holy, Water",13,Magical Brush,"Attack, Last Kiss",140,None,0,None,0,0,56000,15,No,None,37,Owzer's Mansion [WoR],9400,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)","Meteor Strike, Control",None,Can't Run Away,Chadarnook,"Attack (3/4), Last Kiss (1/4)",Last Kiss (inflicts 'Doom'),50,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep, Stop",None,N/A,None,Fire,1,0,0
Chaos Dragon,Fire,13,Dragon Claws,"Attack, Incinerate, Disaster, Meteor",5,Phoenix Down (1/8),4881,None,0,1000,9013,170,Yes,None,44,Phoenix Cave (Everywhere) [WoR],1300,No,10,85,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (64/256)",None,Disaster,Easy,Chaos Drgn,"Disaster (3/4), Incinerate (1/4)",Incinerate (inflicts 'Death'),30,"Petrify, Death, Doom, Critical, Confusion, Sleep",Phoenix Down (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image Silence, Berserk, Sap, Slow, Stop",Ice,0,0,0
Chaser,None,13,Dragon Claws,"Attack, Program 17, Plasma, Dischord",200,None,691,None,0,380,1202,86,No,Float,19,Vector (While escaping from Magitek Research Facility),140,No,8,150,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",Meteor Strike,Plasma,Easy,Chaser,"Plasma (3/4), Program 17 (1/4)",Program 17 (bestows 'Shell'),40,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Bioblaster (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Cherry,None,8,Sasuke,"Attack, Flare, Holy, Blizzaga",100,None,2200,None,0,700,8150,244,No,None,53,Kefka's Tower (1st Party,900,Yes,12,155,0,"Potion, Potion, Potion, Ribbon (32/256)",None,Holy,Hard,Madam,"Holy (3/4), Flare (1/4)",Blinding Touch (inflicts 'Darkness'),35,"Darkness, Petrify, Death, Doom, Critical, Silence",Silver Spectacles (1/8),Humanoid,"Zombie, Poison, MagiTek, Invisible, Imp, Image, Berserk Confusion, Sap, Sleep, Slow, Stop",Poison,0,0,0
Chimera,None,25,Trident,"Attack, Romp, Aqua Breath, Snowstorm",100,Golden Armor (1/8),1144,None,0,760,2237,96,No,None,22,Grass East of Veldt Overworld (Area around Thamasa) Dragon's Den (Holy Palace) [WoR],100,No,10,110,0,"Potion, Potion, Potion, Flame Shield (32/256)",None,Aqua Breath,Easy,Chimera,"Aqua Breath (3/4), Romp (1/4)",Romp (200% damage),45,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Confusion, Sap Sleep, Slow, Stop",Hyper Wrist (1/8),N/A,Berserk,None,0,0,0
Chippirabbit,None,9,Fist,"Attack, Incisors",70,Potion (1/8),53,None,0,110,135,35,No,None,10,Overworld (Sabin's Scenario) [Grass; Forest] [WoB],40,No,10,140,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Raise,Easy,Rhobite,"Attack (3/4), Incisors (1/4)",Incisors (150% damage),30,None,Hi-Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Water,0,0,0
Cirpius,None,13,Ice Rod,"Attack, Beak, Break",80,None,82,None,0,102,134,20,No,Float,10,Mt. Kolts (Slopes) [WoB],100,No,10,110,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Hastega,Easy,Cirpius,"Attack (3/4), Beak (1/4)",Beak (inflicts 'Petrify'),30,Imp,"Antidote (7/8), Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",None,0,0,0
Cloud,None,5,Ice Rod,"Attack, Drain, Fire",110,Potion (1/8),35,None,0,101,120,42,No,None,12,Phantom Train,100,Yes,7,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Thundara,Easy,Hazer,"Attack (3/4), Drain (1/4)",Unseen Strike (200% damage),25,"Zombie, Imp, Death, Doom",Hi-Potion (1/8),Humanoid,"Darkness, Poison, MagiTek, Invisible, Petrify, Critical, Image Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop",Holy,0,0,0
Cloudwraith,Poison,13,Ice Rod,"Attack, Mysterious Dance, Flare",145,"Holy Water (7/8), Amulet (1/8)",485,None,0,385,2058,145,No,None,29,Darill's Tomb (Any floor) [WoR],360,Yes,10,140,0,"Remedy, Remedy, Remedy, Remedy (64/256)",None,Flare,Hard,PowerDemon,"Flare (3/4), Mysterious Dance (1/4)",Mysterious Dance (steals HP),40,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep, Slow, Stop","Hi-Potion (7/8), Diamond Vest (1/8)",Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap","Fire, Holy",0,0,0
Clymenus,None,13,Magical Brush,"Attack, Fire, Fira, Firaga",120,Phoenix Down (1/8),1698,None,0,826,3815,169,No,Float,49,Phoenix Cave (Everywhere) [WoR],9900,Yes,7,165,0,"Potion, Potion, Potion, Safety Bit (32/256)",Meteor Strike,Fira,Easy,Trixter,"Fira (3/4), Fire (1/4)",Hit (150% damage),30,"Darkness, Imp, Death, Doom, Silence, Confusion, Sleep Stop",Phoenix Down (1/8),Humanoid,"Zombie, Poison, MagiTek, Invisible, Petrify, Critical, Image Berserk, Sap, Slow",Holy,0,0,0
Coco,None,13,Sasuke,"Attack, Slap, Confuse, Dispel",100,None,1410,None,0,631,3062,214,No,None,39,Cyan's Dream/Dreamscape (Everywhere but Cave) [WoR] Ancient Castle (outside) [WoR],198,Yes,10,160,0,"Potion, Potion, Potion, Ribbon (32/256)",None,Overture,Easy,Barb-e,"Overture (3/4), Slap (1/4)",Slap (inflicts 'Silence'),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",None,Humanoid,"Slow, Stop",Poison,0,0,0
Coeurl Cat,None,17,Dragon Claws,"Attack, Pounce, Blaster",100,None,701,None,10,416,1115,159,No,None,36,Owzer's Mansion [WoR],78,No,10,140,0,"Potion, Potion, Potion, Tintinnabulum (32/256)",None,Blaster,Easy,Wild Cat,"Blaster (3/4), Pounce (1/4)",Pounce (150% damage),30,Silence,Tabby Suit (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Berserk, Confusion, Sap Sleep, Slow, Stop","Fire, Water",0,0,0
Commander,None,13,Rune Blade,"Attack, Fire",100,None,85,None,0,153,102,25,No,None,10,Hidden passage revealed in Locke's Scenario while trying to get out of South Figaro [WoB & WoR],50,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Break,Easy,Commander,"Attack (3/4), Fire (1/4)",Desperate Strike (200% damage),30,None,Potion (Always),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Corporal,None,15,Rune Blade,"Attack, Swing",100,None,90,None,0,96,255,54,No,None,13,Narshe Cliffs (While protecting Bannon from Kefka),60,No,10,125,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Swing,Can't Run Away,Trooper,"Attack (3/4), Swing (1/4)",Swing (200% damage),25,None,"Potion (7/8), Mythril Sword (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Covert,Poison,25,Kiku-ichimonji,"Attack, Disappear, Wind Slash, Leaf Swirl",100,None,1757,None,50,1768,4530,199,Yes,None,44,Zone Eater's Belly (Everywhere) [WoR],240,No,11,150,0,"Viper Darts, Viper Darts, Assassin's Dagger, Ichigeki (32/256)",None,Wind Slash,Can't Run Away,Covert,"Wind Slash (3/4), Disappear (1/4)",Disappear (unblockable; bestows 'Invisible'),35,"Petrify, Death, Doom, Critical, Silence, Confusion","Shuriken (7/8), Pinwheel (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image Berserk, Sap, Sleep, Slow, Stop",Holy,0,0,0
Crane,Lightning,14,Partisan,"Attack, Wrecking Ball",145,None,0,None,0,0,1800,296,No,None,23,Airship (After escaping from Magitek Research Facility),447,No,4,120,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Crane,"Attack (3/4), Wrecking Ball (1/4)",Wrecking Ball (150% damage),35,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Stop",Noiseblaster (1/8),N/A,Slow,Water,1,0,0
Crane #2,Fire,14,Partisan,"Attack, Wrecking Ball",125,None,0,None,0,0,2300,297,No,None,24,Airship (After escaping from Magitek Research Facility),447,No,4,120,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Crane,"Attack (3/4), Wrecking Ball (1/4)",Wrecking Ball (200% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Stop","Hi-Potion (7/8), Debilitator (1/8)",N/A,Slow,"Lightning, Water",0,0,0
Crawler,None,13,Fist,"Attack, Feeler, Traveler",115,None,1456,None,0,1224,3200,177,No,None,51,"South-Western Continent (Grass, Wasteland, Desert [North] [WoR] Northern-Middle Continent (Wasteland) [WoR] North-Eastern Continent (Wasteland) [WoR]",620,No,8,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Traveler,Hard,Crawler,"Traveler (3/4), Feeler (1/4)",Feeler (inflicts 'Poison'),40,Poison,Remedy (1/8),N/A,"Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Ice,0,0,0
Creature,None,13,Fist,"Attack, Stench, Bio, Poison",110,Teleport Stone (1/8),775,None,10,550,2470,235,No,None,37,Ebot's Rock (Everywhere) [WoR],145,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Bio,Easy,Eland,"Bio (3/4), Stench (1/4)",Stench (inflicts 'Confusion'),32,"Imp, Sleep",Teleport Stone (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",Lightning,0,0,0
Cruller,Poison,11,Fist,"Attack, Brainstorm, Sticky Goo",110,None,419,None,100,797,1334,135,No,"Darkness, Poison",28,South Figaro Cave (Everywhere except Room with Recovery Spring) [WoR],100,Yes,4,70,0,"Potion, Potion, Potion, Elixir (32/256)",None,Sticky Goo,Easy,Cruller,"Sticky Goo (3/4), Brainstorm (1/4)",Brainstorm (inflicts 'Confusion'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep, Slow, Stop",Potion (7/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap","Fire, Holy",0,0,0
Crusher,None,13,Fist,"Attack, Direct Hit, Lifeshaver",145,Super Ball (1/8),788,None,0,577,2095,160,No,None,36,Owzer's Mansion [WoR],340,No,5,85,0,"Remedy, Remedy, Remedy, Remedy (128/256)",None,Lifeshaver,Easy,Crusher,"Lifeshaver (3/4), Direct Hit (1/4)",Direct Hit (500% damage),30,"Darkness, Imp, Petrify, Death, Doom, Berserk, Confusion Sleep",Super Ball (7/8),N/A,"Zombie, Poison, MagiTek, Invisible, Critical, Image, Silence Sap, Slow, Stop",Fire,0,0,0
Crystal Dragon,None,35,Fist,"Attack, Needle Breath, Gale Cut",155,X-Ether (1/8),5000,None,30,7700,32000,275,No,Float,89,Dragon's Den (Cloister of Trials) [WoR],30000,Yes,26,80,10,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Meteor Strike,None,Easy,,"Gale Cut (3/4), Needle Breath (1/4)",Needle Breath (200% damage),62,"Imp, Petrify, Death, Doom, Critical, Silence, Berserk Confusion, Sleep, Slow, Stop",Elixir (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Sap",None,0,1,1
Curlax,Fire,1,Fist,"Attack, Hit",100,None,0,None,0,0,15000,323,No,Float,47,Cyan's Dream/Dreamscape (One of the Three Dream Stooges) [WoR],2000,Yes,4,110,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Curley,"Attack (3/4), Hit (1/4)",Hit (200% damage),35,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",None,Humanoid,"Darkness, Sleep","Ice, Water",1,0,0
Dadaluma,None,12,Fist,"Attack, Sweepkick",85,"Twist Headband (7/8), Thief's Knife (1/8)",0,None,0,1210,3270,288,Yes,None,22,Zozo (Top of Big Tower),1005,No,3,143,10,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Can't Run Away,Dadaluma,"Attack (3/4), Sweepkick (1/4)","Sweepkick (standard damage, inflicts 'Sap')",30,"Zombie, Poison, Invisible, Death, Critical, Berserk, Confusion Sap","Jeweled Ring (7/8), Thief's Bracer (1/8)",Humanoid,"Darkness, MagiTek, Imp, Petrify, Doom, Image, Silence Sleep, Slow, Stop",Poison,1,0,0
Daedalus,Poison,13,Fist,"Attack, Flare, Flare Star, Blaster",105,None,3500,None,0,0,12280,258,No,None,59,Kefka's Tower (2nd Party,100,No,12,150,0,"Cursed Ring, Cursed Ring, Thornlet, Lich Ring (32/256)",None,Meltdown,Hard,Didalos,"Quake (3/4), Venom Tusk (1/4)",Venom Tusk (inflicts 'Poison'),37,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep, Stop",None,Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow","Fire, Holy",0,0,0
Dante,None,17,Trident,"Attack, Crystal Lance, Lv. 3 Confuse, Blizzara",105,Golden Shield (1/8),1150,None,0,712,1945,138,No,None,28,South Figaro Cave [WoR] Figaro Castle (Basement & Engine Room) [WoR],200,Yes,10,150,0,"Potion, Potion, Potion, Thunder Shield (32/256)",None,Lv.3 Confuse,Easy,Dante,"Lv. 3 Confuse (3/4), Crystal Lance (1/4)",Crystal Lance (300% damage),40,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Diamond Helm (1/8),"Humanoid, Undead","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop",Poison,0,0,0
Dark Behemoth,Poison,27,Fist,"Attack, Heave, Meteor",115,Phoenix Down (Always),5000,None,0,0,38000,374,No,None,91,Dragon's Den (Cloister of Trials) [WoR],9999,No,15,151,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Meteor (1/4)",Heave (400% damage),39,"Poison, Invisible, Imp, Petrify, Image, Silence, Berserk Confusion, Sap, Sleep, Slow, Stop","Phoenix Down (7/8), Behemoth Suit (1/8)",N/A,"Darkness, Zombie, MagiTek, Death, Doom, Critical","Fire, Holy",1,1,1
Dark Force,None,12,Ice Rod,"Attack, Lv. 5 Death, Tsunami, White Wind",105,None,2950,None,0,600,8940,240,No,None,55,Kefka's Tower (1st Party,700,Yes,7,155,0,"Potion, Potion, Potion, Elixir (32/256)",None,Tsunami,Hard,Dark Force,"Tsunami (3/4), Lv. 5 Death (1/4)",Hit (150% damage),35,"Imp, Critical, Silence, Berserk, Confusion, Sleep, Stop",Crystal Sword (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Image, Sap, Slow",Holy,0,0,0
Darkside,Poison,10,Fist,"Attack, Sapping Touch, Fire",100,Hi-Potion (1/8),165,None,0,138,255,3,No,"Sap, Float",13,"Terra/Edgar/Bannon Scenario In Mog's cave if you pick the wrong route and mess up on the stars, you have a 25% chance of encountering these enemies Anytime after the Imperial raid on Narsche (You can return to this cave and mess up the puzzle again)",85,No,8,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Blizzara,Easy,Dark Side,"Firaga (3/4), Sapping Touch (1/4)",Sapping Touch (inflicts 'Sap'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Potion (Always),Undead,None,"Fire, Holy",0,0,0
Darkwind,None,13,Ice Rod,"Attack, Dive",55,None,28,None,0,41,34,8,No,Float,5,"Around Narshe (Overworld, Grass/forest) [WoB] Triangle Island (Grass/Forest) [WoB]",0,No,10,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Break,Easy,Dark Wind,"Attack (3/4), Dive (1/4)",Dive (150% damage),30,Imp,Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Fire,0,0,0
Death Machine,None,10,Fist,"Attack, Death, Death, Death",140,None,2300,None,0,670,6000,260,No,None,52,Kefka's Tower (1st Party,550,No,5,140,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Death,Hard,Sky Base,"Gigavolt (3/4), Death (1/4)",Mind Stop (inflicts 'Stop'),35,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Flash (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Death Rider,None,48,Trident,"Attack, Pox, Death, Metal Cutter",150,Red Jacket (1/8),5000,None,20,6600,30000,269,No,None,76,Dragon's Den (Dragon Temple) [WoR] Dragon's Den (Cloister of Trials) [WoR],1200,Yes,19,150,20,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,,"Metal Cutter (3/4), Hyperdrive (1/4)",Pox (200% damage),65,"Zombie, Invisible, Imp, Petrify, Doom, Critical, Confusion Stop",None,"Humanoid, Undead","Darkness, Poison, MagiTek, Death, Image, Silence, Berserk Sap, Sleep, Slow","Fire, Poison",0,1,1
Death Warden,Poison,13,Rune Blade,"Attack, Dead End, Dead End, Dead End",140,Tigerfang (Always),0,None,0,0,8000,155,No,None,19,Cave on the Veldt (Monster-in-a-Box) [WoR],8000,No,55,160,0,"Remedy, Remedy, Remedy, Remedy (32/256)",None,Quake,Can't Run Away,Allo Ver,Dead End (Always),Dead End (inflicts 'Death'),55,"Poison, Imp, Silence, Berserk, Sleep, Stop","Potion (7/8), Hi-Potion (1/8)","Humanoid, Undead","Darkness, Zombie, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Confusion, Sap, Slow","Fire, Holy",0,0,0
Deathgaze,"Ice, Poison",35,Dragon Claws,"Attack, Venom Claw",150,None,0,None,30,0,55555,331,No,"Float, Shell, Protect",68,Airship (Fly around until you find him) [WoR],38000,Yes,8,170,30,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Easy,Doom Gaze,"Attack (3/4), Venom Claw (1/4)",Venom Claw (inflicts 'Poison'),95,"Darkness, Zombie, Poison, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop",None,N/A,"MagiTek, Image","Fire, Holy",1,0,0
Deepeye,None,14,Fist,"Attack, Dreamland, Dread Gaze",100,None,385,None,0,485,1334,141,No,None,28,North-Western Continent (Forest/Wasteland) [WoR],100,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Dread Gaze,Easy,Deep Eye,"Dread Gaze (3/4), Dreamland (1/4)",Dreamland (inflicts 'Sleep'),30,"Imp, Sleep",Eye Drops (7/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",Fire,0,0,0
